# 1060 طبيب

Dr. R Prasada Reddy | AIG Hospitals, Gachibowli Hyderabad | أمراض القلب | Cardiology
Dr. Ankit Goel | Artemis Hospital, Delhi | الجراحة الروبوتية والمسالك | Robotic Surgery & Urology
Dr. Rajiv Yadav | Artemis Hospital, Delhi | جراحة روبوتية ومسالك | Robotic Urology
Dr. SK Rajan | Artemis Hospital, Delhi | جراحة العمود الفقري | Spine Neurosurgery
Dr. Sumit Kumar | Artemis Hospital, Delhi | جراحة العمود الفقري | Spine Surgery
Dr. Varun Khanna | Artemis Hospital, Delhi | جراحة العمود الفقري | Spine Surgery
Dr. Dheeraj Batheja | Artemis Hospital, Delhi | جراحة العمود الفقري | Spine Surgery / Orthopaedics
Dr. Hitesh Garg | Artemis Hospital, Delhi | جراحة العمود الفقري | Spine Surgery / Scoliosis
Dr. (Col) S. V. Kotwal | Artemis Hospital, Delhi | جراحة المسالك البولية | Urology
Dr. Piyush Gupta | Artemis Hospital, Delhi | جراحة المسالك البولية | Urology
Dr. Arul Dominic Furtado | Aster CMI Hospital, Bangalore | جراحة القلب | Cardiac Surgery
Dr. Ganeshakrishnan Iyer | Aster CMI Hospital, Bangalore | جراحة القلب | Cardiac Surgery
Dr. Prashanth Y M | Aster CMI Hospital, Bangalore | جراحة القلب | Cardiac Surgery
Dr. Madhusudan Raikar | Aster CMI Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Nagamalesh U M | Aster CMI Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Sanjay Bhat | Aster CMI Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Sudhir Kumar Kale | Aster CMI Hospital, Bangalore | الأشعة التداخلية | Clinical Imaging & Interventional Radiology
Dr. Shireen Furtado | Aster CMI Hospital, Bangalore | الأمراض الجلدية | Dermatology
Dr. Prakrutha S | Aster CMI Hospital, Bangalore | أطفال الأنابيب وأمراض النساء | Fertility, IVF & Obstetrics
Dr. Puneeth Thalasta | Aster CMI Hospital, Bangalore | الجراحة العامة وجراحة الجهاز الهضمي | General & Surgical Gastroenterology
Dr. Santosh MP | Aster CMI Hospital, Bangalore | جراحة عامة | General Surgery & Allied Specialities
Dr. Anoop P | Aster CMI Hospital, Bangalore | أمراض الدم والأورام وزراعة نخاع العظم | Haematology, Haemato Oncology & BMT
Dr. Girish S. Shetkar | Aster CMI Hospital, Bangalore | أورام الرأس والرقبة | Head & Neck Oncology
Dr. Sonal Asthana | Aster CMI Hospital, Bangalore | زراعة الكبد | Integrated Liver Care, Liver Transplant
Dr. Veerabhadra Guptha K | Aster CMI Hospital, Bangalore | أمراض الكلى | Nephrology
Dr. Akshay Hari | Aster CMI Hospital, Bangalore | جراحة المخ والأعصاب والعمود الفقري | Neuro & Spine Surgery
Dr. Deepak B S | Aster CMI Hospital, Bangalore | جراحة المخ والأعصاب والعمود الفقري | Neuro & Spine Surgery
Dr. Nirmala S | Aster CMI Hospital, Bangalore | جراحة المخ والأعصاب | Neuro Surgery
Dr. Ravi Gopal Varma | Aster CMI Hospital, Bangalore | جراحة المخ والأعصاب | Neuro Surgery
Dr. Santhosh N U | Aster CMI Hospital, Bangalore | جراحة المخ والأعصاب | Neuro Surgery
Dr. Anuradha H K | Aster CMI Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Lokesh B | Aster CMI Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Nikhil C. Hiremath | Aster CMI Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Keni Ravish Rajiv | Aster CMI Hospital, Bangalore | طب الأعصاب والصرع | Neurology & Epilepsy Centre
Dr. Mythri Shankar | Aster CMI Hospital, Bangalore | الطب النووي | Nuclear Medicine
Dr. Bhavani Stalin | Aster CMI Hospital, Bangalore | أمراض النساء والولادة | Obstetrics & Gynaecology
Dr. Chetana V | Aster CMI Hospital, Bangalore | أمراض النساء والولادة | Obstetrics & Gynaecology
Dr. Soumya Lakshmi T V | Aster CMI Hospital, Bangalore | أمراض النساء والولادة | Obstetrics & Gynaecology
Dr. Varsha Desai Kale | Aster CMI Hospital, Bangalore | أمراض النساء والولادة | Obstetrics & Gynaecology
Dr. Sagar Bhattad | Aster CMI Hospital, Bangalore | روماتيزم الأطفال والمناعة | Paediatric Rheumatology & Immunology
Dr. Chetan Ginigeri | Aster CMI Hospital, Bangalore | طب الأطفال وحديثي الولادة | Paediatrics & Neonatology
Dr. Parimala V Thirumalesh | Aster CMI Hospital, Bangalore | أطفال وحديثي الولادة | Paediatrics & Neonatology
Dr. Raghuram CP | Aster CMI Hospital, Bangalore | أطفال وحديثي الولادة | Paediatrics & Neonatology
Dr. Stalin Ramprakash | Aster CMI Hospital, Bangalore | أطفال وحديثي الولادة | Paediatrics & Neonatology
Dr. Ravi Kumar C P | Aster CMI Hospital, Bangalore | أطفال وحديثي الولادة وأمراض الأعصاب للأطفال | Paediatrics, Neonatology & NeuKIDS
Dr. Rohit Kumar C | Aster CMI Hospital, Bangalore | جراحة الأورام ورأس الرقبة | Surgical & Head & Neck Oncology
Dr. Ashwin K R | Aster CMI Hospital, Bangalore | جراحة الأورام | Surgical Oncology
Dr. Somashekhar S P | Aster CMI Hospital, Bangalore | جراحة الأورام | Surgical Oncology
Dr. Vijay K Ahuja | Aster CMI Hospital, Bangalore | جراحة الأورام | Surgical Oncology
Dr. Avinash T S | Aster CMI Hospital, Bangalore | جراحة المسالك البولية | Urology
Dr. Giriraja Velayutham | Aster CMI Hospital, Bangalore | جراحة المسالك البولية | Urology
Dr. Shashank M S | Aster CMI Hospital, Bangalore | جراحة المسالك البولية | Urology
Dr. Divakar Bhat | Aster RV Hospital, Bangalore | جراحة القلب | Cardiac Surgery
Dr. Ganesh Krishnan Iyer | Aster RV Hospital, Bangalore | جراحة القلب | Cardiac Surgery
Dr. Shyam Sunder K R | Aster RV Hospital, Bangalore | أمراض القلب | Cardiology
Prof. Dr. Nagamalesh U M | Aster RV Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Amogh V N | Aster RV Hospital, Bangalore | الأشعة التداخلية | Clinical Imaging & Interventional Radiology
Dr. Ravindra B Kamble | Aster RV Hospital, Bangalore | الأشعة التداخلية | Clinical Imaging & Interventional Radiology
Dr. Sudhakar Banakar | Aster RV Hospital, Bangalore | الأشعة التداخلية | Clinical Imaging & Interventional Radiology
Dr. Vijaya Bhaskar S M | Aster RV Hospital, Bangalore | الأنف والأذن والحنجرة وزراعة السماعات | ENT & Hearing Implantology
Dr. S Satish Kumar | Aster RV Hospital, Bangalore | الغدد الصماء والسكري | Endocrinology & Diabetology
Dr. Girish P. Veeranna | Aster RV Hospital, Bangalore | طب الجهاز الهضمي | Gastro Science
Dr. Madhu M P | Aster RV Hospital, Bangalore | طب الجهاز الهضمي | Gastro Science
Dr. Ajay Kumar A V | Aster RV Hospital, Bangalore | جراحة عامة وجراحة الجهاز الهضمي | General & GI Surgery
Dr. Satyajit Godhi | Aster RV Hospital, Bangalore | جراحة عامة وجراحة الجهاز الهضمي | General & GI Surgery
Dr. Anoop P | Aster RV Hospital, Bangalore | أمراض الدم والأورام وزراعة نخاع العظم | Haematology, Haemato Oncology & BMT
Dr. Sonal Asthana | Aster RV Hospital, Bangalore | رعاية الكبد وزراعة الكبد | Integrated Liver Care
Dr. Harsha Kumar H N | Aster RV Hospital, Bangalore | أمراض الكلى | Nephrology
Dr. Veerabhadra Guptha K | Aster RV Hospital, Bangalore | أمراض الكلى | Nephrology
Dr. Dhananjaya I Bhat | Aster RV Hospital, Bangalore | جراحة المخ والأعصاب | Neuro Surgery
Dr. Ravi Gopal Varma | Aster RV Hospital, Bangalore | جراحة المخ والأعصاب | Neuro Surgery
Dr. B K Madhusudhan | Aster RV Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Shakthi K J S | Aster RV Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Jayashree K Bhat | Aster RV Hospital, Bangalore | طب العيون | Ophthalmology
Dr. J V Srinivas | Aster RV Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Sagar Bhattad | Aster RV Hospital, Bangalore | روماتيزم الأطفال والمناعة | Paediatric Rheumatology & Immunology
Dr. Chetan Ginigeri | Aster RV Hospital, Bangalore | طب الأطفال وحديثي الولادة | Paediatrics & Neonatology
Dr. Raghuram CP | Aster RV Hospital, Bangalore | طب الأطفال وحديثي الولادة | Paediatrics & Neonatology
Dr. Stalin Ramprakash | Aster RV Hospital, Bangalore | طب الأطفال وحديثي الولادة | Paediatrics & Neonatology
Dr. Loganathan Venkatachalam | Aster RV Hospital, Bangalore | الطب الفيزيائي وإعادة التأهيل | Physical Medicine & Rehabilitation
Dr. Murali Krishna | Aster RV Hospital, Bangalore | الطب النفسي | Psychiatry & Counselling Services
Dr. Sandeep Attawar | Aster RV Hospital, Bangalore | أمراض الصدر | Pulmonology
Dr. Somashekhar S P | Aster RV Hospital, Bangalore | جراحة الأورام | Surgical Oncology
Dr. Rohit Kumar C | Aster RV Hospital, Bangalore | جراحة الأورام ورأس الرقبة | Surgical Oncology, Head & Neck Oncology
Dr. Caranj S Venugopal | Aster RV Hospital, Bangalore | جراحة المسالك البولية | Urology
Dr. Santhosh Bethur | Aster RV Hospital, Bangalore | جراحة المسالك البولية | Urology
Dr. Yogesh K | Aster Whitefield Hospital, Bangalore | مناظير المفاصل | Arthroscopy & Sports Injury
Dr. Nashi Semitha | Aster Whitefield Hospital, Bangalore | جراحة أورام الثدي | Breast Surgery
Dr. Prashanth Y M | Aster Whitefield Hospital, Bangalore | جراحة القلب والصدر | CTVS
Dr. Chirag D | Aster Whitefield Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Ajith Kumar A K | Aster Whitefield Hospital, Bangalore | العناية المركزة | Critical Care
Dr. Nikhil Narayanaswamy | Aster Whitefield Hospital, Bangalore | العناية المركزة | Critical Care
Dr. Pooja Murthy | Aster Whitefield Hospital, Bangalore | العناية المركزة | Critical Care
Dr. Venkatesha Gupta K V | Aster Whitefield Hospital, Bangalore | العناية المركزة | Critical Care
Dr. Khushboo Lath | Aster Whitefield Hospital, Bangalore | طب الأسنان | Dentistry
Dr. Kushi C S | Aster Whitefield Hospital, Bangalore | طب الأسنان | Dentistry
Dr. Sindhu U Muktamath | Aster Whitefield Hospital, Bangalore | طب الأسنان | Dentistry
Dr. Priyanka Kuri | Aster Whitefield Hospital, Bangalore | جلدية | Dermatology
Dr. Suma K R | Aster Whitefield Hospital, Bangalore | جلدية | Dermatology
Dr. Bhuvaneshwari Parthiban | Aster Whitefield Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Jyotirmay S Hegde | Aster Whitefield Hospital, Bangalore | أنف وأذن وحنجرة | ENT & Skull Base Surgery
Dr. Ashray V | Aster Whitefield Hospital, Bangalore | طب الطوارئ | Emergency Medicine
Dr. Kushal Pandya | Aster Whitefield Hospital, Bangalore | طب الطوارئ | Emergency Medicine
Dr. Narendra B S | Aster Whitefield Hospital, Bangalore | الغدد الصماء | Endocrinology
Dr. Amulya R | Aster Whitefield Hospital, Bangalore | طب الأجنة | Fetal Medicine
Dr. Shreshta Bhat | Aster Whitefield Hospital, Bangalore | طب الأجنة | Fetal Medicine
Dr. Smitha D S | Aster Whitefield Hospital, Bangalore | طب الأجنة | Fetal Medicine
Dr. Prabhakar B | Aster Whitefield Hospital, Bangalore | جراحة عامة ومناظير وروبوت | General & Laparoscopic Surgery
Dr. Karthik A S | Aster Whitefield Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Esha R Shanbhag | Aster Whitefield Hospital, Bangalore | أورام النساء | Gynecologic Oncology
Dr. Mythili Kundur | Aster Whitefield Hospital, Bangalore | أورام النساء | Gynecologic Oncology
Dr. Vijay K Ahuja | Aster Whitefield Hospital, Bangalore | أورام النساء | Gynecologic Oncology
Dr. H R S Girn | Aster Whitefield Hospital, Bangalore | زراعة الكبد | HPB & Transplant
Dr. Anoop P | Aster Whitefield Hospital, Bangalore | أمراض الدم وزراعة نخاع | Haematology, Paediatric Haemato-Oncology & BMT
Dr. Girish S. Shetkar | Aster Whitefield Hospital, Bangalore | أورام الرأس والرقبة | Head & Neck Oncology
Dr. Narayana Subramaniam | Aster Whitefield Hospital, Bangalore | جراحة الرأس والرقبة | Head & Neck Surgery & Oncology
Dr. Revanth Boddu | Aster Whitefield Hospital, Bangalore | أمراض الدم وزراعة نخاع | Hematology & BMT
Dr. Akhil Deshmukh | Aster Whitefield Hospital, Bangalore | كبد | Hepatology
Dr. Naveen Ganjoo | Aster Whitefield Hospital, Bangalore | كبد | Hepatology
Dr. Mallikarjun Sakpal | Aster Whitefield Hospital, Bangalore | كبد | Hepatology & Transplant Physician
Dr. Nayana D H | Aster Whitefield Hospital, Bangalore | أطفال الأنابيب | IVF & Reproductive Medicine
Dr. Aishwarya R | Aster Whitefield Hospital, Bangalore | الأمراض المعدية | Infectious Diseases
Dr. Abinaya Rathinasami | Aster Whitefield Hospital, Bangalore | الطب الباطني | Internal Medicine
Dr. Basavaraj S Kumbar | Aster Whitefield Hospital, Bangalore | الطب الباطني | Internal Medicine
Dr. Suchismitha Rajamanya | Aster Whitefield Hospital, Bangalore | الطب الباطني | Internal Medicine
Dr. Naveen Chandra G S | Aster Whitefield Hospital, Bangalore | أمراض القلب التداخلية | Interventional Cardiology
Dr. Dheeraj Shyam V N | Aster Whitefield Hospital, Bangalore | الأشعة التداخلية | Interventional Radiology
Dr. Nischal Kundaragi | Aster Whitefield Hospital, Bangalore | الأشعة التداخلية | Interventional Radiology
Dr. Rajaraman V | Aster Whitefield Hospital, Bangalore | الأشعة التداخلية | Interventional Radiology
Dr. Vachan S Hukkeri | Aster Whitefield Hospital, Bangalore | زراعة الكبد | Liver Transplant
Dr. Sonal Asthana | Aster Whitefield Hospital, Bangalore | زراعة الكبد | Liver Transplant & HPB Surgery
Dr. Sreekanth P Kunjumon | Aster Whitefield Hospital, Bangalore | طب الأسنان | Maxillofacial Radiology
Dr. C N Patil | Aster Whitefield Hospital, Bangalore | أورام طبية ودم | Medical & Haemato Oncology
Dr. Abhijith B R | Aster Whitefield Hospital, Bangalore | أمراض الجهاز الهضمي | Medical Gastroenterology
Dr. Ajay B R | Aster Whitefield Hospital, Bangalore | أمراض الجهاز الهضمي | Medical Gastroenterology
Dr. Mallikarjun R Patil | Aster Whitefield Hospital, Bangalore | الوراثة الطبية | Medical Genetics
Dr. Sai Vivek V | Aster Whitefield Hospital, Bangalore | أورام طبية | Medical Oncology
Dr. Sneha Kommineni | Aster Whitefield Hospital, Bangalore | أورام طبية | Medical Oncology
Dr. Vaishnavi Joshi | Aster Whitefield Hospital, Bangalore | أورام طبية | Medical Oncology
Dr. Dheeraj Masapu | Aster Whitefield Hospital, Bangalore | تخدير الأعصاب | Neuro Anaesthesia
Dr. Aravind P R | Aster Whitefield Hospital, Bangalore | طب التأهيل العصبي | Neuro Rehabilitation
Dr. Balaji B S | Aster Whitefield Hospital, Bangalore | طب الأعصاب | Neurology & Epileptology
Dr. Keni Ravish Rajiv | Aster Whitefield Hospital, Bangalore | طب الأعصاب | Neurology, Epilepsy
Prof. Dr. Satish Rudrappa | Aster Whitefield Hospital, Bangalore | جراحة الأعصاب والعمود الفقري | Neurosurgery
Prof. Dr. Swaroop Gopal | Aster Whitefield Hospital, Bangalore | جراحة الأعصاب | Neurosurgery
Dr. Avinash Tupalli | Aster Whitefield Hospital, Bangalore | الطب النووي | Nuclear Medicine
Dr. Mythri Shankar | Aster Whitefield Hospital, Bangalore | الطب النووي | Nuclear Medicine
Dr. Prathap H J | Aster Whitefield Hospital, Bangalore | الطب النووي | Nuclear Medicine, Theranostics
Dr. Deepthi Ashwin | Aster Whitefield Hospital, Bangalore | نساء وولادة | Obstetrics & Gynaecology
Dr. Kavitha Kovi | Aster Whitefield Hospital, Bangalore | نساء وولادة | Obstetrics & Gynaecology
Dr. Sandhya Rani | Aster Whitefield Hospital, Bangalore | نساء وولادة | Obstetrics & Gynaecology
Dr. Vishnu Priya | Aster Whitefield Hospital, Bangalore | نساء وولادة | Obstetrics & Gynaecology
Dr. Harsha G N | Aster Whitefield Hospital, Bangalore | جراحة العظام | Orthopedics, Joint Replacement
Dr. C P Raghuram | Aster Whitefield Hospital, Bangalore | أمراض الدم للأطفال وBMT | Paediatric Haemato-Oncology & BMT
Dr. Stalin Ramprakash | Aster Whitefield Hospital, Bangalore | أمراض الدم للأطفال وBMT | Paediatric Haemato-Oncology & BMT
Dr. Sumithra S | Aster Whitefield Hospital, Bangalore | عناية الأطفال | Paediatric Intensive Care
Dr. Manjiri Somashekhar | Aster Whitefield Hospital, Bangalore | جراحة الأطفال | Paediatric Surgery
Dr. Palak Singhai | Aster Whitefield Hospital, Bangalore | جراحة الأطفال | Paediatric Surgery
Dr. Lathiesh Kumar Kambham | Aster Whitefield Hospital, Bangalore | أطفال وحديثي الولادة | Paediatrics & Neonatology
Dr. Srinivasa Murthy C L | Aster Whitefield Hospital, Bangalore | أطفال وحديثي الولادة | Paediatrics & Neonatology
Dr. Amelia Sahana Michael | Aster Whitefield Hospital, Bangalore | الرعاية التلطيفية | Palliative Medicine
Dr. Madhavi Thuyamani | Aster Whitefield Hospital, Bangalore | الرعاية التلطيفية | Palliative Medicine
Dr. Raghavendra Ramanjulu | Aster Whitefield Hospital, Bangalore | الرعاية التلطيفية | Palliative Medicine & Rehab
Dr. Abhijit Prakash Chougule | Aster Whitefield Hospital, Bangalore | علم الأمراض | Pathology
Dr. Anand M S | Aster Whitefield Hospital, Bangalore | علم الأمراض | Pathology
Dr. Susmita Rakshith | Aster Whitefield Hospital, Bangalore | علم الأمراض | Pathology & Histopathology
Dr. Bharath A P | Aster Whitefield Hospital, Bangalore | قلب أطفال | Pediatric Cardiology
Dr. Sujatha Thyagarajan | Aster Whitefield Hospital, Bangalore | طوارئ الأطفال | Pediatric Emergency & PICU
Dr. Jahnavi M | Aster Whitefield Hospital, Bangalore | الغدد الصماء أطفال | Pediatric Endocrinology
Dr. N. Kavitha Bhat | Aster Whitefield Hospital, Bangalore | الغدد الصماء أطفال | Pediatric Endocrinology
Dr. Ashritha A | Aster Whitefield Hospital, Bangalore | أمراض الكبد للأطفال | Pediatric Hepatology
Dr. Srikanta J T | Aster Whitefield Hospital, Bangalore | صدر أطفال | Pediatric Pulmonology
Dr. Tejaswi Chandra | Aster Whitefield Hospital, Bangalore | صدر أطفال | Pediatric Pulmonology
Dr. Jyothi Raghuram | Aster Whitefield Hospital, Bangalore | روماتيزم أطفال | Pediatric Rheumatology
Dr. N Sudarshan Reddy | Aster Whitefield Hospital, Bangalore | جراحة التجميل | Plastic & Reconstructive Surgery
Dr. Ashok B C | Aster Whitefield Hospital, Bangalore | جراحة التجميل | Plastic, Reconstructive & Aesthetic Surgery
Dr. Pretty Duggar Gupta | Aster Whitefield Hospital, Bangalore | الطب النفسي | Psychiatry
Ms. Neha K | Aster Whitefield Hospital, Bangalore | علم النفس | Psychology
Dr. Rohit Shirgaonkar | Aster Whitefield Hospital, Bangalore | أمراض الصدر | Pulmonology
Dr. Srivatsa Lokeshwaran | Aster Whitefield Hospital, Bangalore | أمراض الصدر | Pulmonology & Lung Transplant
Dr. Jayant J B | Aster Whitefield Hospital, Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. M S Belliappa | Aster Whitefield Hospital, Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Prathima Sivaguru | Aster Whitefield Hospital, Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Pushpa Naga C H | Aster Whitefield Hospital, Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Ram Charith Alva | Aster Whitefield Hospital, Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Suneetha N | Aster Whitefield Hospital, Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Namita Verma | Aster Whitefield Hospital, Bangalore | الأشعة | Radiology
Dr. Sudhirkumar Kale | Aster Whitefield Hospital, Bangalore | الأشعة | Radiology
Dr. Kiran K | Aster Whitefield Hospital, Bangalore | علم الأمراض | Renal & Transplant Pathology
Dr. Yathish G C | Aster Whitefield Hospital, Bangalore | أمراض الروماتيزم | Rheumatology
Dr. Ramachandran G | Aster Whitefield Hospital, Bangalore | جراحة العمود الفقري | Spine Surgery
Prof. Dr. Somashekhar S P | Aster Whitefield Hospital, Bangalore | جراحة الأورام النسائية والروبوت | Surgical & Gynaecological Oncology / Robotic Surgery, HIPEC, PIPAC
Dr. Vinodha Reddy K | Aster Whitefield Hospital, Bangalore | جراحة الجهاز الهضمي والمناظير | Surgical Gastroenterology & Bariatric
Dr. Darshan Patil | Aster Whitefield Hospital, Bangalore | جراحة الأورام | Surgical Oncology
Dr. Elvis Peter Joseph | Aster Whitefield Hospital, Bangalore | جراحة الأورام | Surgical Oncology
Dr. Kushal Agrawal | Aster Whitefield Hospital, Bangalore | جراحة الأورام | Surgical Oncology
Dr. Deo Ravindra Padmakar | Aster Whitefield Hospital, Bangalore | جراحة الأورام والرأس والرقبة | Surgical Oncology & Head & Neck Oncology
Dr. Jagannath Dixit | Aster Whitefield Hospital, Bangalore | جراحة الأورام والمناظير والروبوت | Surgical Oncology & Robotic
Dr. Ashwin K R | Aster Whitefield Hospital, Bangalore | جراحة الأورام والروبوت | Surgical Oncology & Robotic Surgery
Dr. Rohit Kumar C | Aster Whitefield Hospital, Bangalore | جراحة الأورام | Surgical Oncology & Robotic Surgery
Dr. Sachin Arakere Nataraj | Aster Whitefield Hospital, Bangalore | أورام المسالك والروبوت | Uro-oncology & Robotic Surgery
Dr. Gokulakrishnan P J | Aster Whitefield Hospital, Bangalore | جراحة المسالك | Urology
Dr. Anoop T | Aster Whitefield Hospital, Bangalore | جراحة الأوعية الدموية | Vascular Surgery
Dr. Murali Manohhar | Fortis Hospital, BG Road Bangalore | جراحة القلب | Cardiac Surgery
Dr. Vivek Jawali | Fortis Hospital, BG Road Bangalore | جراحة القلب | Cardiac Surgery
Dr. Rajpal Singh R L | Fortis Hospital, BG Road Bangalore | أمراض القلب | Cardiology
Dr. Shashidhara | Fortis Hospital, BG Road Bangalore | أمراض القلب | Cardiology
Dr. Srinivas Prasad | Fortis Hospital, BG Road Bangalore | أمراض القلب | Cardiology
Dr. Susheen Dutt | Fortis Hospital, BG Road Bangalore | أنف وأذن وحنجرة | ENT
Dr. Srinivas Munigoti / Srinivasa Phanidhar Munigoti | Fortis Hospital, BG Road Bangalore | الغدد الصماء أو طب عام | Endocrinology / General Medicine
Dr. Sreedhara V. | Fortis Hospital, BG Road Bangalore | جراحة السمنة والمناظير | GI, Minimal Access & Bariatric Surgery
Dr. Ravindra B.S | Fortis Hospital, BG Road Bangalore | الجهاز الهضمي | Gastroenterology
Dr. Sunil Kasturi | Fortis Hospital, BG Road Bangalore | الجهاز الهضمي أو طب عام | Gastroenterology / General
Dr. Girikumar Venati | Fortis Hospital, BG Road Bangalore | طبيب عام وسكري | General Physician & Diabetologist
Dr. Manish Joshi | Fortis Hospital, BG Road Bangalore | جراحة عامة | General Surgery
Dr. Shashikiran | Fortis Hospital, BG Road Bangalore | جراحة عامة | General Surgery
Dr. Kishore U.S.B | Fortis Hospital, BG Road Bangalore | زراعة الكبد | HBP & Liver Transplant
Dr. Sheela Murali Chakravarthy | Fortis Hospital, BG Road Bangalore | الطب الباطني | Internal Medicine
Dr. Sudha Vinod Menon | Fortis Hospital, BG Road Bangalore | الطب الباطني | Internal Medicine
Dr. Prajwith Rai | Fortis Hospital, BG Road Bangalore | أشعة تداخلية | Interventional Radiology
Dr. Niti Raizada | Fortis Hospital, BG Road Bangalore | أورام طبية | Medical Oncology
Dr. Ashish Parek / Aashish Parekh | Fortis Hospital, BG Road Bangalore | أمراض الكلى | Nephrology
Dr. Rajanna Sreedhara | Fortis Hospital, BG Road Bangalore | أمراض الكلى | Nephrology
Dr. Rajakumar D.V | Fortis Hospital, BG Road Bangalore | جراحة العمود الفقري والمخ والاعصاب | Neuro & Spine Surgery
Dr. Grober | Fortis Hospital, BG Road Bangalore | طب الأعصاب | Neurology
Dr. Sreekanta Swamy | Fortis Hospital, BG Road Bangalore | طب الأعصاب | Neurology
Dr. Deshpande Vasudevarao Rajakumar | Fortis Hospital, BG Road Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Murali Krishna | Fortis Hospital, BG Road Bangalore | جراحة الأعصاب | Neurosurgery
Dr. Gayana | Fortis Hospital, BG Road Bangalore | الطب النووي | Nuclear Medicine
Dr. Mohan Karisankappa Puttaswamy | Fortis Hospital, BG Road Bangalore | جراحة العظام | Orthopaedics
Dr. Narayan Hulse | Fortis Hospital, BG Road Bangalore | جراحة العظام | Orthopaedics
Dr. Naveen D | Fortis Hospital, BG Road Bangalore | جراحة العظام | Orthopaedics
Dr. Mohan Puttaswamy | Fortis Hospital, BG Road Bangalore | جراحة العظام | Orthopedics
Dr. Venu Gopal | Fortis Hospital, BG Road Bangalore | جراحة العظام | Orthopedics
Dr. Vivek Anand Padegal | Fortis Hospital, BG Road Bangalore | أمراض الصدر | Pulmonology
Dr. Srinivasa C | Fortis Hospital, BG Road Bangalore | أمراض الروماتيزم أو طب عام | Rheumatology / General Medicine
Dr. Sudarshan | Fortis Hospital, BG Road Bangalore | جراحة القلب الروبوتية | Robotic Cardiac Surgery
Dr. Karibasavaraja | Fortis Hospital, BG Road Bangalore | جراحة المسالك البولية | Urology
Dr. Mohan Keshavamurthy | Fortis Hospital, BG Road Bangalore | جراحة المسالك البولية | Urology
Dr. Nlgar | Fortis Hospital, BG Road Bangalore | جراحة المسالك البولية | Urology
Dr. Hosahalli Rajanna Sunilkumar | HCG Hospital, K R Road Bangalore | تخدير | Anesthesia
Dr. Anand Subraya Bhat | HCG Hospital, K R Road Bangalore | جراحة القلب والصدر والأوعية | Cardiothoracic & Vascular Surgery
Dr. Brindha Sitaram | HCG Hospital, K R Road Bangalore | علم النفس الإكلينيكي | Clinical Psychology
Dr. Gaurav Shankar Medikeri | HCG Hospital, K R Road Bangalore | أنف وأذن وحنجرة | ENT
Dr. Jeevan H R | HCG Hospital, K R Road Bangalore | الجهاز الهضمي | Gastroenterology
Dr. Bharat Gadhavi | HCG Hospital, K R Road Bangalore | جراحة عامة | General Surgery
Dr. Gaurav Medikeri | HCG Hospital, K R Road Bangalore | جراحة عامة | General Surgery
Dr. Abhilasha Narayan | HCG Hospital, K R Road Bangalore | أورام نسائية | Gynecologic Oncology
Dr. Ganesh Datta Borewad | HCG Hospital, K R Road Bangalore | أورام الرأس والعنق | Head & Neck Oncology
Dr. K Bhavya | HCG Hospital, K R Road Bangalore | أورام الرأس والعنق | Head & Neck Oncology
Dr. Aishwarya N | HCG Hospital, K R Road Bangalore | عناية مشددة | Intensive Care
Dr. Divya Gangoli | HCG Hospital, K R Road Bangalore | عناية مشددة | Intensive Care
Dr. Abhideep Chaudhary | HCG Hospital, K R Road Bangalore | زراعة الكبد | Liver Transplant
Dr. Basant Mahadevappa | HCG Hospital, K R Road Bangalore | زراعة الكبد | Liver Transplant
Dr. Bhushan Chittawadagi | HCG Hospital, K R Road Bangalore | زراعة الكبد | Liver Transplant
Dr. B J Srinivasa | HCG Hospital, K R Road Bangalore | أورام طبية | Medical Oncology
Dr. Intezar Mehdi | HCG Hospital, K R Road Bangalore | أورام طبية | Medical Oncology
Dr. Amresh Bhaganagare | HCG Hospital, K R Road Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Kumarswamy Gangadharayya Kallur | HCG Hospital, K R Road Bangalore | الطب النووي | Nuclear Medicine
Dr. Jayashree K Bhat | HCG Hospital, K R Road Bangalore | طب العيون | Ophthalmology
